#,etablissement,ville,commune,capacite_d_accueil,montant_des_frais_d_inscription,liste_des_filieres,sigle,commune,location,phone,email,website,subs_fee,scho_amount,sectors
123,UNIVERSITE SANKOFA DE COTE D'IVOIRE (USCI) - BONDOUKOU,BONDOUKOU,BONDOUKOU,0,,2127,,BONDOUKOU,Quartier Residentiel,"['2734755689 ', ' 0707290789']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE GENIE BATIMENT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),BTS', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', 'LICENCE EN MARKETING DIGITAL,Licence', '']"
124,UNIVERSITE SEPI YOPOUGON -(US YOPOUGON),ABIDJAN,YOPOUGON,0,Affectés 120 000/ Non Affectés 220 000,898,US YOPOUGON,YOPOUGON,Non loin de la nouvelle pharmacie Yopougon Gabriel gare,"['07 57 20 86 58 ', ' 05 06 10 43 65']",[email protected],www.uns-if.ci,Affectés 120 000/ Non Affectés 220 000,Affectés 320 000/ Non Affectés 770 000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE GESTION COMMERCIALE,Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', '""LICENCE Information, communication et ressources humaines"",Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
125,UNIVERSITE TAHARQA SARE -(UTS),ABIDJAN,COCODY,0,80.000 FCFA,1025,UTS,COCODY,"ISID, Riviéra Palmeraie, non loin du Rond-Point ADO, Rue de la Pharmacie Val de Grace","['(+225) 27 22 21 26 72 ', ' 05 04 32 30 64 ', ' 07 19 39 78 68']",[email protected],//www.isidci.com,80.000 FCFA,750.000 FCFA,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', 'LICENCE PSYCHOLOGIE (PRIVE),Licence', 'Licence en Sciences Politiques,Licence', '']"
126,UNIVERSITE TERTIAIRE ET TECHNOLOGIE LOKO -(UTT-LOKO),ABIDJAN,MARCORY,0,85000,534,UTT LOKO,MARCORY,MARCORY ZONE 4C Rue Blanchard Bl 17 DECEMBRE,"['0160995081 ', ' 0160995082 ', ' 0172407091 ', ' 0544286297 ', ' 0544296188 ', '0565061963 ', '0748656782 ', ' 0797817974 ', '0798119325 ', ' 0788122706']",[email protected],//www.groupeloko.com,85000,1,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE Génie civil,Licence', 'LICENCE Géologie mine pétrole et environnement,Licence', 'LICENCE Industries agro-alimentaires,Licence', '""LICENCE Information, communication et ressources humaines"",Licence', 'LICENCE Informatique télécommunication électronique et réseaux,Licence', '']"
127,UNIVERSITE VAME DE BOUAKE (UVB),BOUAKE,BOUAKE,0,,857,,BOUAKE,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
128,UNIVERSITE VIRTUELLE PANAFRICAINE DE TECHNOLOGIE -(UVPT),ABIDJAN,COCODY,0,450 000 F,702,UNIVERSITE UVPT,COCODY,"92P7+9RG, Angré)",['2722423135 – 0749400218 – 0749400231 – 0575994195 – 0584955768 - 0584955639'],[email protected],// www.uvpt-cocody.com,450 000 F,OF pour les affectés et réaffectés de l’Etat,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ANTHROPOLOGIE (PRIVE),Licence', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE PHILOSOPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', 'LICENCE EN PHYSIQUE CHIMIE (PRIVE),Licence', 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', 'LICENCE FINANCE BANQUE ASSURANCE (FBA),Licence', 'LICENCE MARKETING,Licence', 'LICENCE PSYCHOLOGIE (PRIVE),Licence', 'LICENCE SCIENCE DE LA VIE ET DE LA TERRE (PRIVE),Licence', 'LICENCE SOCIOLOGIE (PRIVE),Licence', 'Licence en Sciences Politiques,Licence', '']"
129,UNIVERSITY OF ABIDJAN -(UNI ABIDJAN),ABIDJAN,COCODY,0,95 000 F CFA,151,UNIABIDJAN,COCODY,"Cocody Rue L25, derrière la pharmacie St Bernard, Riviéra Attoban.","['+225 21.00.11.22 ', ' 07 79 60 00 02 ', ' 25 21 00 11 22']",[email protected],//www.uniabidjan.com,95 000 F CFA,200 000 F CFA,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : AD / ASSISTANAT DE DIRECTION,BTS', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,BTS', 'BTS : GEC / GESTION COMMERCIALE,BTS', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,BTS"", 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,BTS', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE MARKETING,Licence', '']"
130,UNVERSITE CANADIENNE DES ARTS DES SCIENCES ET DU MANAGEMENT -(UCASM),ABIDJAN,COCODY,0,,1011,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES AFFAIRES,Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '']"
131,Université Al Fourqane de Cote d'Ivoire -(UFCI),ABIDJAN,YOPOUGON,0,100 000 Fcfa,535,UFCI,YOPOUGON,"YOPOUGON (Abidjan) route de DABOU, Carrefour Bougounisso, à 200 mètres.",['23535124'],[email protected],//www.ufci.ci,100 000 Fcfa,600000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
132,Université Internationale ICK - U2ICK,BOUAKE,BOUAKE,0,200.000 F,1069,U2ICK,BOUAKE,"Bouaké air-france 3 ancien corridor sud, route du lac","['0707595373', '0707261050', '0161201164']",[email protected],//www.groupeick.com,200.000 F,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION ET GESTION DES ENTREPRISES,Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '']"
133,Université Internationale des Sciences Appliquées et de Technologies - UNISAT (UNIV),ABIDJAN,COCODY,0,200 000 FCFA,404,UNISAT,COCODY,Située à Cocody les II Plateaux derrière la Polyclinique des II Plateaux,['22 41 68 72'],[email protected],//www.unisat-ci.net,200 000 FCFA,455 000 FCFA,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE MATHEMATIQUES,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE STATISTIQUES ET ECONOMIE APPLIQUEE,Licence', '']"
134,Université Méthodiste de Côte d'Ivoire - UMECI,ABIDJAN,COCODY,0,210 000 F,527,UMECI,COCODY,FACE CHU DE COCODY,['27 22 44 66 68'],[email protected],www.umeci.org.ci,210 000 F,360 000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE Assistanat de direction,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '']"
135,Université Populaire de Cote d'Ivoire (UPCI),ABIDJAN,YOPOUGON,0,,933,,YOPOUGON,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', '']"
136,Université Tahaqa Sarê - UNISS (Université Internationale des Sciences Sociale Hampâté Bâh ),ABIDJAN,COCODY,0,80.000 FCFA,170,UISS-HB,COCODY,"Cocody, Riviéra Palmeraie, non loin du Rond-Point ADO, Rue de la Pharmacie Val de Grace","['(+225) 27 22 21 26 72 ', ' 05 04 32 30 64 ', ' 07 19 39 78 68']",[email protected],www.isidci.com,80.000 FCFA,750.000 FCFA,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', 'LICENCE PSYCHOLOGIE (PRIVE),Licence', 'LICENCE SCIENCES DU LANGAGE ET DE LA COMMUNICATION (PRIVE),Licence', 'Licence de géographie,Licence', 'Licence en Sciences Politiques,Licence', '']"
137,Université de technologie de Songon (UTS),ABIDJAN,SONGON,0,130.000 F,2113,UTS,SONGON,SONGON DAGBE N'GBAHITO,"['+225 01 7025 93 15 ', '+225 07 09 47 68 03']",,//www.uts-edu.net,130.000 F,250.000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE FINANCE BANQUE ASSURANCE (FBA),Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
138,VALORIS INTERNATIONAL UNIVERSITY -(VIU),ABIDJAN,COCODY,0,250 000 F,810,VIU,COCODY,,['27.22.47.01.27 - 07.07.94.46.71 - 07.07.07.87.14'],[email protected],,250 000 F,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', '""LICENCE Information, communication et ressources humaines"",Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
139,WEST AFRICA UNIVERSITY (WAU),SAN PEDRO,SAN PEDRO,0,100000,832,WAU,SAN PEDRO,QUARTIER BALMER,"['01 03 73 98 98 ', ' 05 85 79 54 54']",,,100000,200000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '""LICENCE LETTRES, ARTS ET SCIENCES HUMAINES"",Licence', '']"
